symbol,date,source,open,close,adj_close,volume,status,note
TMF,2026-06-30,eodhd,36.410000,35.550000,35.550000,3286900,ok,ticker=TMF.US
TMF,2026-04-30,tiingo,35.150000,34.820000,34.464246,3777933,ok,ticker=tmf
TMF,2026-05-29,tiingo,35.040000,34.940000,34.583020,3446930,ok,ticker=tmf
TMF,2026-06-30,tiingo,36.410000,35.550000,35.550000,3286857,ok,ticker=tmf
TMF,2026-04-30,stockdata_yfinance,34.789412,,34.462795,3777900,ok,ticker=TMF auto_adjust=True
TMF,2026-05-29,stockdata_yfinance,34.680542,,34.581566,3437900,ok,ticker=TMF auto_adjust=True
TMF,2026-06-30,stockdata_yfinance,36.410000,,35.549999,3286900,ok,ticker=TMF auto_adjust=True
VIX,2026-04-30,alpaca,,,,,unsupported,VIX index is not a stock bar symbol on Alpaca
VIX,2026-05-29,alpaca,,,,,unsupported,VIX index is not a stock bar symbol on Alpaca
VIX,2026-06-30,alpaca,,,,,unsupported,VIX index is not a stock bar symbol on Alpaca
VIX,2026-04-30,eodhd,18.680000,16.890000,16.890000,0,ok,ticker=VIX.INDX
VIX,2026-05-29,eodhd,15.810000,15.320000,15.320000,0,ok,ticker=VIX.INDX
VIX,2026-06-30,eodhd,17.540000,16.450000,16.450000,0,ok,ticker=VIX.INDX
VIX,2026-04-30,tiingo,,,,,error,"HTTPStatusError: Client error '404 Not Found' for url 'https://api.tiingo.com/tiingo/daily/%5EVIX/prices?startDate=2026-04-30&endDate=2026-06-30&token=<redacted>'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404"
VIX,2026-05-29,tiingo,,,,,error,"HTTPStatusError: Client error '404 Not Found' for url 'https://api.tiingo.com/tiingo/daily/%5EVIX/prices?startDate=2026-04-30&endDate=2026-06-30&token=<redacted>'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404"
VIX,2026-06-30,tiingo,,,,,error,"HTTPStatusError: Client error '404 Not Found' for url 'https://api.tiingo.com/tiingo/daily/%5EVIX/prices?startDate=2026-04-30&endDate=2026-06-30&token=<redacted>'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404"
VIX,2026-04-30,stockdata_yfinance,18.680000,,16.889999,0,ok,ticker=^VIX auto_adjust=True
VIX,2026-05-29,stockdata_yfinance,15.810000,,15.320000,0,ok,ticker=^VIX auto_adjust=True
VIX,2026-06-30,stockdata_yfinance,17.540001,,16.450001,0,ok,ticker=^VIX auto_adjust=True
